submissiondate,today,tabletid,duration,a_area,a_hhid,hhbdm,a_consent,b_phone,bz1,b_educ,b_sex,bz2,b_residents,b_children,b_decision,b_bigpurchase,b_bigpurchase_1,b_bigpurchase_2,b_bigpurchase_3,b_bigpurchase_4,b_bigpurchase_5,b_bigpurchase_6,b_bigpurchase_7,b_bigpurchase_8,b_bigpurchase_96,b_bigpurchase_97,bz3,b_partnersex,bz4,b_rent,b_occupationself,b_occupationself_96,b_occupationself_1,b_occupationself_2,b_occupationself_3,b_occupationself_4,b_occupationself_5,b_occupationself_6,b_occupationself_61,b_occupationself_7,b_occupationself_8,b_occupationself_9,b_occupationself_10,b_occupationself_11,b_occupationself_12,b_occupationself_13,b_occupationself_14,b_occupationself_15,b_occupationself_16,b_occupationself_17,b_occupationself_18,b_occupationself_19,b_occupationself_20,b_occupationself_21,b_occupationself_22,b_occupationself_23,b_occupationself_24,b_occupationself_25,b_occupationself_26,b_occupationself_27,b_occupationself_28,b_occupationself_29,b_occupationself_30,b_occupationself_31,b_occupationself_32,b_occupationself_33,b_occupationself_50,b_occupationself_60,b_occupationself_71,b_occupationself_72,b_occupationself_73,b_occupationself_74,b_occupationself_75,b_occupationself_97,b_incomeself,b_occupationothers,b_occupationothers_96,b_occupationothers_1,b_occupationothers_2,b_occupationothers_3,b_occupationothers_4,b_occupationothers_5,b_occupationothers_6,b_occupationothers_61,b_occupationothers_7,b_occupationothers_8,b_occupationothers_9,b_occupationothers_10,b_occupationothers_11,b_occupationothers_12,b_occupationothers_13,b_occupationothers_14,b_occupationothers_15,b_occupationothers_16,b_occupationothers_17,b_occupationothers_18,b_occupationothers_19,b_occupationothers_20,b_occupationothers_21,b_occupationothers_22,b_occupationothers_23,b_occupationothers_24,b_occupationothers_25,b_occupationothers_26,b_occupationothers_27,b_occupationothers_28,b_occupationothers_29,b_occupationothers_30,b_occupationothers_31,b_occupationothers_32,b_occupationothers_33,b_occupationothers_50,b_occupationothers_60,b_occupationothers_71,b_occupationothers_72,b_occupationothers_73,b_occupationothers_74,b_occupationothers_75,b_occupationothers_97,b_incomeothers,bz5,g1a,g1a2,g1b,g1b_1,g1b_2,g1b_3,g1b_96,g1c,g1d,g1d_1,g1d_2,g1d_3,g1d_4,g1d_5,g1d_6,g1d_96,g1e,g1e_1,g1e_2,g1e_3,g1e_4,g1e_5,g1e_6,g1e_96,g1f,g1f_1,g1f_2,g1f_3,g1g1,g1g,g1h,g1i,g2a,g2b,g2b2,g2c,g2d,g2d_1,g2d_2,g2d_3,g2d_4,g2d_5,g2d_6,g2d_7,g2d_8,g2d_9,g2d_10,g2d_97,g2e,g2f,g2g,g2g_1,g2g_2,g2g_3,g2g_4,g2g_97,g2h,g2h_1,g2h_2,g2h_3,g2h_4,g2h_5,g2h_6,g2h_7,g2h_8,g2h_9,g2h_10,g2h_97,g2i,g2i_1,g2i_2,g2i_3,g2i_4,g2i_5,g2i_6,g2i_7,g2i_8,g2i_9,g2i_10,g2i_97,d_maincooking,d_mainlighting,cz1,d_anycharcoal,d_anykerosene,d_anyfirewood,d_anylpg,d_anycandles,d_anysolar,d_anyelec,d_anyphone,cz2,d_charcoalbuy,d_charcoaluse,d_charcoalfree,d_kerosenebuy,d_kerosenefree,d_firewoodbuy,d_firewoodfree,d_lpgbuy,d_lpgfree,d_candlesbuy,d_candlesfree,d_solarbuy,d_elecbuy,d_phonebuy,cz3_b,c_charcoalwho_self,c_charcoalwho_spouse,c_charcoalwho_other,c_charcoalfreq,c_charcoalseller,c_charcoalseller_1,c_charcoalseller_2,c_charcoalseller_3,c_charcoalseller_4,c_charcoalseller_5,c_charcoalseller_6,c_charcoalseller_7,c_charcoalseller_8,c_charcoalseller_9,c_charcoalseller_10,c_charcoalseller_97,c_charcoalbought,c_charcoalbought_1,c_charcoalbought_2,c_charcoalbought_3,c_charcoalbought_4,c_charcoalbought_5,c_charcoalbought_6,c_charcoalbought_7,c_charcoalbought_8,c_charcoalbought_9,c_charcoalbought_10,c_charcoalbought_97,c_charcoalprice,c_charcoalunits,c_charcoalow,c_charcoalhigh,c_buymore,c_buymore_1,c_buymore_2,c_buymore_3,c_buymore_4,c_buymore_5,c_buymore_6,c_buymore_7,c_buymore_8,c_buymore_97,c_buymore_96,c_buymoreother,c_cookstoveprice,c_cookstovemonth,c_cookstoveyear,c_newcookstovewhen,c_newcookstovebuy,cz4,d_awareness,d_awareness_1,d_awareness_20,d_awareness_21,d_awareness_22,d_awareness_3,d_awareness_4,d_awareness_5,d_awareness_6,d_awareness_7,d_awareness_8,d_awareness_9,d_awareness_10,d_awareness_97,d_taste,d_tastetext,d_jikokoalast,d_bestthings,d_bestthings_1,d_bestthings_2,d_bestthings_3,d_bestthings_4,d_bestthings_5,d_bestthings_6,d_bestthings_7,d_bestthings_99,d_bestthingsdetail,d_nobuy,d_nobuy_1,d_nobuy_2,d_nobuy_3,d_nobuy_4,d_nobuy_5,d_nobuy_6,d_nobuy_7,d_nobuy_8,d_nobuy_9,d_nobuy_10,d_nobuy_11,d_nobuy_12,d_nobuy_13,d_nobuy_97,d_nobuy_detail,d_alwaystaker,prac_start,prac_x1,prac_min1,prac_max1,prac_bid1,prac_x2,prac_min2,prac_max2,prac_bid2,prac_x3,prac_min3,prac_max3,prac_bid3,prac_x4,prac_min4,prac_max4,prac_bid4,prac_x5,prac_min5,prac_max5,prac_bid5,prac_x6,prac_min6,prac_max6,prac_bid6,prac_wtp1,prac_wtp1_p5,prac_wtp1_m5,prac_maxpay1,prac_newwtp1,prac_checkbid1,prac_checkbid2,prac_doublecheck1,prac_wtp2,prac_wtp2_p5,prac_wtp2_m5,prac_maxpay2,prac_newwtp2,prac_checkbid3,prac_checkbid4,prac_doublecheck2,prac_wtp3,prac_wtp3_p5,prac_wtp3_m5,prac_maxpay3,prac_newwtp3,prac_checkbid5,prac_checkbid6,prac_doublecheck3,prac_wtp4,prac_wtp4_p5,prac_wtp4_m5,prac_maxpay4,prac_checkbid7,prac_checkbid8,prac_doublecheck4,prac_finwtp,rndprice,prac_price,prac_respargue,prac_arguments,start,x1,min1,max1,bid1,x2,min2,max2,bid2,x3,min3,max3,bid3,x4,min4,max4,bid4,x5,min5,max5,bid5,x6,min6,max6,bid6,x7,min7,max7,bid7,x8,min8,max8,bid8,x9,min9,max9,bid9,x10,min10,max10,bid10,x11,min11,max11,bid11,wtp1,wtp1_p5,wtp1_m5,maxpay1,newwtp1,checkbid1,checkbid2,doublecheck1,wtp2,wtp2_p5,wtp2_m5,maxpay2,newwtp2,checkbid3,checkbid4,doublecheck2,wtp3,wtp3_p5,wtp3_m5,maxpay3,newwtp3,checkbid5,checkbid6,doublecheck3,wtp4,wtp4_p5,wtp4_m5,maxpay4,checkbid7,checkbid8,doublecheck4,finwtp,f_pricecorrect,f_pricewritten,price,f_respargu_yn,f_complete,f_payment,f_info_sale,g_consent_sms,z_locationaccuracy,z_info_note,instanceid,formdef_version,key
"2/27/2018 13:51","27-Feb-18",3.562e+14,1695,"Gatwekera",158511,1500,1,1,,13,0,,5,2,1,"2 3 6 7",0,1,1,0,0,1,1,0,0,0,,,,3500,"24 97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500,"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,"3",0,0,1,0,1,"2 6",0,1,0,0,0,1,0,3,0,0,1,0,0,0,0,2,0,1,0,6000,4,2,2,0,2000,1500,300,"6 97",0,0,0,0,0,1,0,0,0,0,1,10000,,"",,,,,,"6 97",0,0,0,0,0,1,0,0,0,0,1,"97",0,0,0,0,0,0,0,0,0,0,1,3,1,"",1,1,0,0,0,0,1,0,,350,350,0,210,0,,,,,,,,80,,"",12,0,0,2,"1",1,0,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,0,0,0,0,0,50,2,50,60,"2 7 8",0,1,0,0,0,0,1,1,0,0,,350,2,2017,12,2,"","1 3 6 7",1,0,0,0,1,0,0,1,1,0,0,0,0,3,"",48,"1 3",1,0,1,0,0,0,0,0,"The material used to make this jiko is good but again it is how one maintains it","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I have an unpredictable job so raising the amount required at once is hard for me",0,0,25,0,50,0,13,0,25,0,7,0,13,1,10,7,13,1,12,10,13,0,11,10,12,0,10,15,5,1,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,10,.1325341,43,0,,0,998,0,1995,1,1497,998,1995,1,1746,1497,1995,0,1622,1497,1746,0,1560,1497,1622,1,1591,1560,1622,1,1607,1591,1622,0,1599,1591,1607,1,1603,1599,1607,0,1601,1599,1603,0,1600,1599,1601,1,1600,1605,1595,1,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,1600,1,,1500,,1,1500,"",1,,,"uuid:5666afa8-a913-4633-b57a-b450669eefc9",1802270853,"uuid:5666afa8-a913-4633-b57a-b450669eefc9"
"2/27/2018 13:51","27-Feb-18",3.562e+14,868,"Gatwekera",158490,3500,1,1,,8,0,,4,2,2,"6 7 8",0,0,0,0,0,1,1,1,0,0,,1,,1000,"97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,250,"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,400,,1,2,"1 3",1,0,1,0,2,"2",0,1,0,0,0,0,0,96,0,0,0,0,0,0,1,2,0,1,0,0,4,4,2,0,2000,3000,,"1 6 97",1,0,0,0,0,1,0,0,0,0,1,15000,,"",,,,,,"1 97",1,0,0,0,0,0,0,0,0,0,1,"1 97",1,0,0,0,0,0,0,0,0,0,1,3,1,"",1,1,0,0,0,0,1,0,,350,350,0,210,0,,,,,,,,80,,"",12,0,0,2,"1",1,0,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,0,0,0,0,0,50,2,50,70,"2 6 7",0,1,0,0,0,1,1,0,0,0,,300,6,2017,8,2,"","1 3 7",1,0,0,0,1,0,0,0,1,0,0,0,0,3,"",60,"1 3",1,0,1,0,0,0,0,0,"I love the jiko, it is really nice","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"The price is too high for me",0,0,25,0,50,0,13,0,25,0,7,0,13,1,10,7,13,1,12,10,13,0,11,10,12,1,11,16,6,1,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,11,.0158509,49,0,,0,998,0,1995,1,1497,998,1995,0,1248,998,1497,0,1123,998,1248,0,1061,998,1123,0,1030,998,1061,0,1014,998,1030,0,1006,998,1014,0,1002,998,1006,0,1000,998,1002,1,1001,1000,1002,0,1000,1005,995,1,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,1000,1,,3500,0,,,"",1,300,,"uuid:b1d7ac40-2f81-4ce9-b01d-430c8ab9cf81",1802270853,"uuid:b1d7ac40-2f81-4ce9-b01d-430c8ab9cf81"
"2/27/2018 14:54","27-Feb-18",3.562e+14,1952,"Sarangombe",158889,1500,1,1,,10,0,,7,3,2,"6 7",0,0,0,0,0,1,1,0,0,0,,1,,1000,"12",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,,1,2,"3",0,0,1,0,1,"6",0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,2,0,1,0,2000,5,4,2,9999,6000,8000,22000,"6",0,0,0,0,0,1,0,0,0,0,0,,,"",,,,,,"6",0,0,0,0,0,1,0,0,0,0,0,"4",0,0,0,1,0,0,0,0,0,0,0,3,1,"",1,1,0,0,0,0,1,0,,350,300,0,350,0,,,,,,,,300,,"",12,0,0,2,"1",1,0,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,0,0,0,0,0,50,2,40,60,"3",0,0,1,0,0,0,0,0,0,0,,300,12,2017,24,1,"The jiko was bought on january 2018","1",1,0,0,0,0,0,0,0,0,0,0,0,0,3,"",18,"1",1,0,0,0,0,0,0,0,"I will be buying less charcoal","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I have been saving to buy one from the enrollment visit",0,0,25,0,50,0,13,0,25,0,7,0,13,1,10,7,13,1,12,10,13,0,11,10,12,0,10,15,5,1,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,10,.3170632,34,0,,0,998,0,1995,1,1497,998,1995,0,1248,998,1497,1,1373,1248,1497,0,1311,1248,1373,0,1280,1248,1311,1,1296,1280,1311,0,1288,1280,1296,1,1292,1288,1296,0,1290,1288,1292,1,1291,1290,1292,0,1290,1295,1285,1,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,1290,1,,1500,0,,,"",1,4.9,,"uuid:164d1acd-8283-4537-a93c-22db27b5dad0",1802270853,"uuid:164d1acd-8283-4537-a93c-22db27b5dad0"
"2/27/2018 14:54","27-Feb-18",3.562e+14,2279,"Sarangombe",158685,3500,1,1,,12,0,,5,3,2,"6 7",0,0,0,0,0,1,1,0,0,0,,0,,2500,"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,,1,1,"3",0,0,1,0,2,"3 6",0,0,1,0,0,1,0,3,0,0,1,0,0,0,0,2,0,1,0,5000,5,2,1,8888,30000,40000,,"6",0,0,0,0,0,1,0,0,0,0,0,,25000,"",,,,,,"6",0,0,0,0,0,1,0,0,0,0,0,"6",0,0,0,0,0,1,0,0,0,0,0,3,1,"",1,1,0,1,0,0,1,0,,120,120,0,100,0,,,950,0,,,,300,,"",8,4,0,3,"1",1,0,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,0,0,0,0,0,60,2,60,60,"1",1,0,0,0,0,0,0,0,0,0,,400,99,2016,2,1,"","1 21 3",1,0,1,0,1,0,0,0,0,0,0,0,0,3,"",48,"1",1,0,0,0,0,0,0,0,"I will use it for a longer period","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I was not well informed how its working",0,0,25,0,50,0,13,0,25,0,7,0,13,1,10,7,13,1,12,10,13,0,11,10,12,0,10,15,5,1,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,10,.7305325,13,0,,0,998,0,1995,1,1497,998,1995,0,1248,998,1497,0,1123,998,1248,1,1186,1123,1248,1,1217,1186,1248,0,1202,1186,1217,0,1194,1186,1202,0,1190,1186,1194,0,1188,1186,1190,0,1187,1186,1188,1,1187,1192,1182,1,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,1187,1,,3500,0,,,"",1,4.3,,"uuid:2f723413-ead9-4fa0-ba8e-42b80d17a64f",1802270853,"uuid:2f723413-ead9-4fa0-ba8e-42b80d17a64f"
"2/27/2018 14:54","27-Feb-18",3.562e+14,2211,"Sarangombe",126929,2566,1,1,,8,0,,7,5,2,"7",0,0,0,0,0,0,1,0,0,0,,1,,2500,"8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,500,,1,1,"3",0,0,1,0,1,"1 2",1,1,0,0,0,0,0,96,0,0,0,0,0,0,1,1,1,0,0,17000,5,2,1,8888,13000,10000,9999,"6",0,0,0,0,0,1,0,0,0,0,0,50000,,"",,,,,,"",,,,,,,,,,,,"1",1,0,0,0,0,0,0,0,0,0,0,3,1,"",1,1,0,0,1,1,1,0,,350,300,0,100,0,,,,,10,0,17000,400,,"Solar panel was bought once at 3000 and had to pay 40 shillings installment for  one year",8,2,2,2,"1",1,0,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,0,0,0,0,0,50,2,40,50,"4",0,0,0,1,0,0,0,0,0,0,,300,3,2017,5,1,"","9",0,0,0,0,0,0,0,0,0,0,1,0,0,3,"",36,"3",0,0,1,0,0,0,0,0,"Using less charcoal and lights up very fast","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"They dont have a installment plan..",0,0,25,0,50,0,13,0,25,0,7,0,13,1,10,7,13,0,9,7,10,0,8,7,9,0,7,12,2,1,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,7,.3353971,33,0,,0,998,0,1995,0,499,0,998,1,749,499,998,1,874,749,998,1,936,874,998,1,967,936,998,1,983,967,998,1,991,983,998,1,995,991,998,1,997,995,998,1,998,997,998,1,998,1003,993,1,,1,2,1,1003,1008,998,1,,1,2,0,,,,,,,,,,,,,,,,1003,1,,2566,0,,,"",1,4.4,,"uuid:cdc48cbd-ab1b-4eb2-ab02-27ddba69bf53",1802270853,"uuid:cdc48cbd-ab1b-4eb2-ab02-27ddba69bf53"
"2/28/2018 14:58","28-Feb-18",3.562e+14,1192,"LainiSaba",158658,3500,1,1,,8,0,,5,3,2,"2 3 7 8",0,1,1,0,0,0,1,1,0,0,,1,,3000,"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,400,,1,2,"96",0,0,0,1,2,"96",0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,2,0,1,0,0,5,5,4,0,,,,"",,,,,,,,,,,,,,"2",0,1,0,0,0,"1 97",1,0,0,0,0,0,0,0,0,0,1,"1 97",1,0,0,0,0,0,0,0,0,0,1,3,1,"",1,1,0,0,0,0,1,0,,420,420,0,210,0,,,,,,,,80,,"",12,0,0,2,"1",1,0,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,0,0,0,0,0,60,1,60,70,"2 6 7",0,1,0,0,0,1,1,0,0,0,,250,12,2016,16,2,"","1 3",1,0,0,0,1,0,0,0,0,0,0,0,0,3,"",96,"1 3",1,0,1,0,0,0,0,0,"I have heard that it uses less charcoal and lasts for a long time without breaking","1 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,"I imagine the price is very high and since I am not working currently to support my husband, it is really hard to get the money",0,0,25,0,50,0,13,0,25,0,7,0,13,0,4,0,7,1,6,4,7,0,5,4,6,1,5,10,0,1,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,5,.5991315,20,0,,0,998,0,1995,0,499,0,998,1,749,499,998,0,624,499,749,0,562,499,624,0,531,499,562,0,515,499,531,0,507,499,515,0,503,499,507,0,501,499,503,0,500,499,501,1,500,505,495,1,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,500,1,,3500,0,,,"",1,44.7,,"uuid:2ddd3fea-0e3c-4089-9a2d-2204380a5ccf",1802270853,"uuid:2ddd3fea-0e3c-4089-9a2d-2204380a5ccf"
"2/28/2018 14:58","28-Feb-18",3.562e+14,1468,"LainiSaba",158655,3500,1,1,,7,0,,4,3,1,"2 6 7",0,1,0,0,0,1,1,0,0,0,,,,1000,"97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300,"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,"1 3",1,0,1,0,1,"2",0,1,0,0,0,0,0,96,0,0,0,0,0,0,1,2,0,1,0,2600,5,5,4,0,2000,6000,62,"97",0,0,0,0,0,0,0,0,0,0,1,5000,,"",,,,,,"1 6",1,0,0,0,0,1,0,0,0,0,0,"1 6 97",1,0,0,0,0,1,0,0,0,0,1,3,1,"",1,1,0,0,1,0,1,0,,350,350,0,120,0,,,,,70,0,,80,,"",12,0,0,1,"1",1,0,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,0,0,0,0,0,50,2,50,70,"2 6 7",0,1,0,0,0,1,1,0,0,0,,300,4,2017,8,3,"","1 3 6",1,0,0,0,1,0,0,1,0,0,0,0,0,3,"",96,"1 3",1,0,1,0,0,0,0,0,"Knows it lasts very long, a friend of hers has used it for some time and it still in good shape","1 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Does not know where to buy one and has heard it is very expensive",0,0,25,0,50,0,13,0,25,0,7,0,13,1,10,7,13,1,12,10,13,0,11,10,12,0,10,15,5,1,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,10,.6239504,19,0,,0,998,0,1995,1,1497,998,1995,1,1746,1497,1995,0,1622,1497,1746,0,1560,1497,1622,0,1529,1497,1560,0,1513,1497,1529,0,1505,1497,1513,0,1501,1497,1505,0,1499,1497,1501,1,1500,1499,1501,1,1500,1505,1495,1,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,1500,1,,3500,0,,,"",1,56.1,,"uuid:7c78f67b-7725-451c-882f-17cb0d2f77cc",1802270853,"uuid:7c78f67b-7725-451c-882f-17cb0d2f77cc"
"2/28/2018 14:58","28-Feb-18",3.562e+14,1274,"LainiSaba",158662,3500,1,1,,13,0,,3,1,2,"1 2 3 6 7 8",1,1,1,0,0,1,1,1,0,0,,1,,2500,"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,"97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,300,,1,1,"3",0,0,1,0,1,"2",0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,1,0,800,5,4,2,0,1000,12000,9999,"97",0,0,0,0,0,0,0,0,0,0,1,4000,,"",,,,,,"97",0,0,0,0,0,0,0,0,0,0,1,"97",0,0,0,0,0,0,0,0,0,0,1,3,1,"",1,1,0,0,1,0,1,0,,350,350,0,210,0,,,,,50,0,,300,,"",12,0,0,2,"1",1,0,0,0,0,0,0,0,0,0,0,"1",1,0,0,0,0,0,0,0,0,0,0,50,2,50,70,"2 6 7",0,1,0,0,0,1,1,0,0,0,,350,6,2016,1,3,"","1 3",1,0,0,0,1,0,0,0,0,0,0,0,0,3,"",60,"1 3",1,0,1,0,0,0,0,0,"It will save a lot on charcoal use","1 2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,"I am not sure of the price but I know it must be expensive",0,0,25,0,50,0,13,0,25,0,7,0,13,0,4,0,7,1,6,4,7,0,5,4,6,1,5,10,0,1,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,5,.1585633,42,0,,1,2993,1995,3990,0,2494,1995,2993,1,2744,2494,2993,0,2619,2494,2744,0,2557,2494,2619,0,2526,2494,2557,0,2510,2494,2526,0,2502,2494,2510,0,2498,2494,2502,1,2500,2498,2502,1,2501,2500,2502,0,2500,2505,2495,1,,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,2500,1,,3500,0,,,"",1,42,,"uuid:322d8fba-bb77-433a-ab86-8f373bfcc0c2",1802270853,"uuid:322d8fba-bb77-433a-ab86-8f373bfcc0c2"
"2/28/2018 15:10","28-Feb-18",3.562e+14,1543,"LainiSaba",158652,3500,1,0,,8,0,,6,4,2,"7 8",0,0,0,0,0,0,1,1,0,0,,1,,2000,"7",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,,1,2,"96",0,0,0,1,2,"3",0,0,1,0,0,0,0,96,0,0,0,0,0,0,1,3,0,0,1,5000,5,5,2,9999,,,,"6",0,0,0,0,0,1,0,0,0,0,0,,10000,"",,,,,,"",,,,,,,,,,,,"1",1,0,0,0,0,0,0,0,0,0,0,3,1,"",0,1,0,0,0,0,1,0,,,,,300,0,,,,,,,,300,,"She had jiko but it broke down 3  months ago and she has not bought a new one making main source of enerygy for cooking be kerosene stove and uses electric coil to cook",12,0,0,,"",,,,,,,,,,,,"",,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,"","1 6",1,0,0,0,0,0,0,1,0,0,0,0,0,3,"",36,"1",1,0,0,0,0,0,0,0,"Use little charcoal","",,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",1,4.8,,"uuid:0ee27b5e-44f2-4040-83a3-c766a1851179",1802270853,"uuid:0ee27b5e-44f2-4040-83a3-c766a1851179"
